mrt,building,latitude,longitude,code
Jurong East,JURONG EAST MRT STATION (EW24 / NS1),1.33315281585758,103.742286332403,NS1
Bukit Batok,BUKIT BATOK MRT STATION (NS2),1.34903331201636,103.749566478309,NS2
Bukit Gombak,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733,NS3
Brickland,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733,NS3
Choa Chu Kang,CHOA CHU KANG MRT STATION (NS4),1.38536316540225,103.744370779756,NS4
Yew Tee,YEW TEE MRT STATION (NS5),1.39753506936297,103.747405150236,NS5
Kranji,KRANJI MRT STATION (NS7),1.42508698073648,103.762137459497,NS7
Marsiling,MARSILING MRT STATION (NS8),1.43252114855026,103.774074641403,NS8
Woodlands,WOODLANDS MRT STATION (NS9),1.43681962961519,103.786066799253,NS9
Admiralty,ADMIRALTY MRT STATION (NS10),1.44058856161847,103.800990519771,NS10
Sembawang,SEMBAWANG MRT STATION (NS11),1.44905082158502,103.820046140211,NS11
Canberra,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959,NS12
Yishun,YISHUN MRT STATION (NS13),1.42944308477331,103.835005047246,NS13
Khatib,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243,NS14
Yio Chu Kang,YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118,NS15
Ang Mo Kio,ANG MO KIO MRT STATION (NS16),1.36993284962262,103.84955809232,NS16
Bishan,BISHAN MRT STATION (NS17),1.35083898784737,103.848143964542,NS17
Braddell,BRADDELL MRT STATION (NS18),1.3404690010277,103.846799083148,NS18
Toa Payoh,TOA PAYOH MRT STATION (NS19),1.33262928096888,103.847502198048,NS19
Novena,NOVENA MRT STATION (NS20),1.32044079120154,103.843825618748,NS20
Newton,NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021,NS21
Orchard,ORCHARD MRT STATION (NS22),1.30398013681715,103.832245244375,NS22
Somerset,SOMERSET MRT STATION (NS23),1.30026416739006,103.839085753124,NS23
Dhoby Ghaut,DHOBY GHAUT MRT STATION (NS24),1.29870132536119,103.846113677951,NS24
City Hall,CITY HALL MRT STATION (EW13 / NS25),1.29293672227779,103.852585580366,NS25
Raffles Place,RAFFLES PLACE MRT STATION (EW14 / NS26),1.28412561043658,103.851461712342,NS26
Marina Bay,MARINA BAY MRT STATION (NS27),1.276410298755,103.854595522263,NS27
Marina South Pier,MARINA SOUTH PIER MRT STATION (NS28),1.27102703612006,103.862447515736,NS28
Pasir Ris,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,EW1
Tampines,TAMPINES MRT STATION (EW2),1.35330167637376,103.945144586749,EW2
Simei,SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378,EW3
Tanah Merah,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,EW4
Bedok,BEDOK MRT STATION (EW5),1.32397996868158,103.929984495066,EW5
Kembangan,KEMBANGAN MRT STATION (EW6),1.3210381335934,103.912947930851,EW6
Eunos,EUNOS MRT STATION (EW7),1.31978354916088,103.903225807255,EW7
Paya Lebar,PAYA LEBAR MRT STATION (EW8),1.31811149224527,103.893060771576,EW8
Aljunied,ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385,EW9
Kallang,KALLANG MRT STATION (EW10),1.31148890998818,103.871386541754,EW10
Lavender,LAVENDER MRT STATION (EW11),1.30737781747063,103.862767633888,EW11
